,Phrase1,Phrase2
165,Humanities.md,18JAN2023 Humanities.md
166,Humanities.md,20JAN2023 Humanities.md
167,Humanities.md,23JAN2023 Humanities.md
168,Humanities.md,25JAN2023_Humanities.md
169,Speech.md,Introduction Speech.md
170,Notes.md,Chapter 6.1 Basic Propositional Logic Notes.md
171,logic.md,Propositional logic.md
172,discipline.md,academic discipline.md
173,ice.md,academic practice.md
174,interdisciplinary.md,adjective interdisciplinary.md
175,ls.md,ADUHELM clinical trials.md
176,species.md,agricultural species.md
177,game theory.md,algorithmic game theory.md
178,ls.md,analytical models.md
179,ions.md,ancient populations.md
180,kingdom.md,animal kingdom.md
181,ls.md,animals.md
182,ls.md,Appendix B Data and Properties of Materials.md
183,history.md,architectural history.md
184,intelligence.md,artificial intelligence.md
185,sphere.md,atmosphere.md
186,science.md,atmospheric science.md
187,ions.md,authors’ conclusions.md
188,sciences.md,behavioural sciences.md
189,data.md,biological data.md
190,literature.md,biological literature.md
191,ls.md,biological materials.md
192,materials.md,biological materials.md
193,sciences.md,biomedical sciences.md
194,ions.md,biomolecular interactions.md
195,physics.md,biophysics.md
196,sphere.md,biosphere.md
197,Rome.md,bishop of Rome.md
198,ls.md,blood vessels.md
199,fluids.md,bodily fluids.md
200,ls.md,broken tools.md
201,ls.md,Cells.md
202,science.md,central science.md
203,theology.md,Christian theology.md
204,rm.md,cirriform.md
205,viscosity.md,coefficient of viscosity.md
206,ions.md,cognitive functions.md
207,science.md,communication science.md
208,semantics.md,comparative semantics.md
209,geometry.md,computational geometry.md
210,number theory.md,computational number theory.md
211,science.md,computer science.md
212,ions.md,conference presentations.md
213,phenomena.md,conscious phenomena.md
214,medicine.md,Contemporary medicine.md
215,chemistry.md,cosmochemistry.md
216,law.md,criminal law.md
217,analysis.md,critical analysis.md
218,ls.md,crystals.md
219,rm.md,cumuliform.md
220,rm.md,cumulonimbiform.md
221,energy.md,dark energy.md
222,matter.md,dark matter.md
223,death.md,date of death.md
224,solids.md,deformation of solids.md
225,analysis.md,Demographic analysis.md
226,ions.md,developing research questions.md
227,ls.md,devils.md
228,ions.md,dilutions.md
229,science.md,discovery science.md
230,science.md,earth science.md
231,sciences.md,earth sciences.md
232,sphere.md,Earth's atmosphere.md
233,atmosphere.md,Earth's atmosphere.md
234,ions.md,electron configurations.md
235,information.md,emergency contact information.md
236,sciences.md,empirical sciences.md
237,engineering.md,environmental engineering.md
238,chemistry.md,Equilibrium chemistry.md
239,literature.md,esoteric literature.md
240,calmness.md,excitement versus calmness.md
241,science.md,forensic science.md
242,languages.md,formal languages.md
243,logic.md,Formal logic.md
244,sciences.md,Formal sciences.md
245,ls.md,fossil fuels.md
246,ls.md,frozen crystals.md
247,crystals.md,frozen crystals.md
248,Pergamon.md,Galen of Pergamon.md
249,disease.md,genetic basis of disease.md
250,data.md,genomic data.md
251,chemistry.md,geochemistry.md
252,morphology.md,geomorphology.md
253,physics.md,geophysics.md
254,science.md,geoscience.md
255,sphere.md,geosphere.md
256,Porosity.md,Hair Porosity.md
257,crystal structure.md,hexagonal crystal structure.md
258,demons.md,hierarchy of demons.md
259,corpus.md,Hippocratic corpus.md
260,science.md,historical science.md
261,sphere.md,homosphere.md
262,ls.md,hospitals.md
263,rain.md,How Well Do You Know Your Brain.md
264,ions.md,human dissections.md
265,ions.md,human populations.md
266,behavior.md,human social behavior.md
267,ls.md,human souls.md
268,souls.md,human souls.md
269,meteorology.md,hydrometeorology.md
270,sphere.md,hydrosphere.md
271,family.md,Indo-European language family.md
272,formal fallacies.md,informal fallacies.md
273,formal languages.md,informal languages.md
274,languages.md,informal languages.md
275,logic.md,informal logic.md
276,engineering.md,information engineering.md
277,light.md,infrared light.md
278,Church.md,institution of the Church.md
