,Phrase1,Phrase2
547,9.mp4.md,9_Language_Processing_Pipeline_in_Spacy_NLP_Tutorial_For_Beginners_-_9.mp4.md
548,23.mp4.md,Obsidian_setup_for_2023.mp4.md
549,23.mp4.md,Obsidian_setup_for_2023.mp4.md
550,3.mp4.md,Obsidian_setup_for_2023.mp4.md
551,23.mp4.md,Obsidian_setup_for_2023.mp4.md
552,3.mp4.md,Obsidian_setup_for_2023.mp4.md
553,2.mp4.md,39_E2_E1_Sn2_Sn1_Reactions_Example_2.mp4.md
554,2.mp4.md,39_E2_E1_Sn2_Sn1_Reactions_Example_2.mp4.md
555,2.mp4.md,39_E2_E1_Sn2_Sn1_Reactions_Example_2.mp4.md
556,3.mp4.md,40_E2_E1_Sn2_Sn1_Reactions_Example_3.mp4.md
557,3.mp4.md,40_E2_E1_Sn2_Sn1_Reactions_Example_3.mp4.md
558,3_Alcohol_properties__Alcohols_ethers_epoxides_sulfides__Organic_chemistry__Khan_Academy.mp4.md,43_Alcohol_properties__Alcohols_ethers_epoxides_sulfides__Organic_chemistry__Khan_Academy.mp4.md
559,2.mp4.md,56_Amine_in_Sn2_part_2.mp4.md
560,2.mp4.md,56_Amine_in_Sn2_part_2.mp4.md
561,2.mp4.md,56_Amine_in_Sn2_part_2.mp4.md
562,1.mp4.md,6_More_Organic_Chemistry_Naming_Examples_1.mp4.md
563,1.mp4.md,6_More_Organic_Chemistry_Naming_Examples_1.mp4.md
564,1.mp4.md,6_More_Organic_Chemistry_Naming_Examples_1.mp4.md
565,4.mp4.md,9_Organic_Chemistry_Naming_Examples__4.mp4.md
566,4.mp4.md,9_Organic_Chemistry_Naming_Examples__4.mp4.md
567,20.mp4.md,19_Russia_the_Kievan_Rus_and_the_Mongols_Crash_Course_World_History_20.mp4.md
568,20.mp4.md,19_Russia_the_Kievan_Rus_and_the_Mongols_Crash_Course_World_History_20.mp4.md
569,20.mp4.md,19_Russia_the_Kievan_Rus_and_the_Mongols_Crash_Course_World_History_20.mp4.md
570,1.mp4.md,19_Notion_vs_Obsidian_Complete_Comparison___Review_2021.mp4.md
571,21.mp4.md,19_Notion_vs_Obsidian_Complete_Comparison___Review_2021.mp4.md
572,1.mp4.md,19_Notion_vs_Obsidian_Complete_Comparison___Review_2021.mp4.md
573,21.mp4.md,19_Notion_vs_Obsidian_Complete_Comparison___Review_2021.mp4.md
574,1.mp4.md,19_Notion_vs_Obsidian_Complete_Comparison___Review_2021.mp4.md
575,21.mp4.md,19_Notion_vs_Obsidian_Complete_Comparison___Review_2021.mp4.md
576,1.mp4.md,27_Obsidian_Organization_of_Notes__University_Student_Example__Part_1.mp4.md
577,1.mp4.md,27_Obsidian_Organization_of_Notes__University_Student_Example__Part_1.mp4.md
578,1.mp4.md,27_Obsidian_Organization_of_Notes__University_Student_Example__Part_1.mp4.md
579,1.mp4.md,Chapter_10_Part_1.mp4.md
580,1.mp4.md,Chapter_10_Part_1.mp4.md
581,1.mp4.md,Chapter_10_Part_1.mp4.md
582,2.mp4.md,Chapter_10_Part_2.mp4.md
583,2.mp4.md,Chapter_10_Part_2.mp4.md
584,2.mp4.md,Chapter_10_Part_2.mp4.md
585,1.mp4.md,Chapter_11.mp4.md
586,11.mp4.md,Chapter_11.mp4.md
587,1.mp4.md,Chapter_11.mp4.md
588,11.mp4.md,Chapter_11.mp4.md
589,1.mp4.md,Chapter_11.mp4.md
590,11.mp4.md,Chapter_11.mp4.md
591,12.mp4.md,Chapter_12.mp4.md
592,2.mp4.md,Chapter_12.mp4.md
593,12.mp4.md,Chapter_12.mp4.md
594,2.mp4.md,Chapter_12.mp4.md
595,12.mp4.md,Chapter_12.mp4.md
596,2.mp4.md,Chapter_12.mp4.md
597,3.mp4.md,Chapter_1_Full_Stat_2103.mp4.md
598,3.mp4.md,Chapter_1_Full_Stat_2103.mp4.md
599,3.mp4.md,Chapter_2_Part_1_Stat_2103.mp4.md
600,3.mp4.md,Chapter_2_Part_1_Stat_2103.mp4.md
601,3.mp4.md,Chapter_2_Part_2_Stat_2103.mp4.md
602,3.mp4.md,Chapter_2_Part_2_Stat_2103.mp4.md
603,3.mp4.md,Chapter_3_Part_1_Stat_2103.mp4.md
604,3.mp4.md,Chapter_3_Part_1_Stat_2103.mp4.md
605,3.mp4.md,Chapter_3_Part_2_Stat_2103.mp4.md
606,3.mp4.md,Chapter_3_Part_2_Stat_2103.mp4.md
607,3.mp4.md,Chapter_3_Part_3_Stat_2103.mp4.md
608,3.mp4.md,Chapter_3_Part_3_Stat_2103.mp4.md
609,3.mp4.md,Chapter_4_Part_1_Stat_2103.mp4.md
610,3.mp4.md,Chapter_4_Part_1_Stat_2103.mp4.md
611,3.mp4.md,Chapter_4_Part_2_Stat_2103.mp4.md
612,3.mp4.md,Chapter_4_Part_2_Stat_2103.mp4.md
613,3.mp4.md,Chapter_5_Part_1_Stat_2103.mp4.md
614,3.mp4.md,Chapter_5_Part_1_Stat_2103.mp4.md
615,3.mp4.md,Chapter_5_Part_2_Stat_2103.mp4.md
616,3.mp4.md,Chapter_5_Part_2_Stat_2103.mp4.md
617,3.mp4.md,Chapter_6_Part_1_Stat_2103.mp4.md
618,3.mp4.md,Chapter_6_Part_1_Stat_2103.mp4.md
619,3.mp4.md,Chapter_6_Part_2_Stat_2103.mp4.md
620,3.mp4.md,Chapter_6_Part_2_Stat_2103.mp4.md
621,3.mp4.md,Chapter_6_Part_3_Stat_2103.mp4.md
622,3.mp4.md,Chapter_6_Part_3_Stat_2103.mp4.md
623,3.mp4.md,Chapter_6_Practice_Problems_Full_Stat_2103.mp4.md
624,3.mp4.md,Chapter_6_Practice_Problems_Full_Stat_2103.mp4.md
625,3.mp4.md,Chapter_7_Part_1_Stat_2103.mp4.md
626,3.mp4.md,Chapter_7_Part_1_Stat_2103.mp4.md
627,3.mp4.md,Chapter_7_Part_2_Stat_2103.mp4.md
628,3.mp4.md,Chapter_7_Part_2_Stat_2103.mp4.md
629,3.mp4.md,Chapter_8_Part_1_Stat_2103.mp4.md
630,3.mp4.md,Chapter_8_Part_1_Stat_2103.mp4.md
631,3.mp4.md,Chapter_8_Part_2_Stat_2103.mp4.md
632,3.mp4.md,Chapter_8_Part_2_Stat_2103.mp4.md
633,3.mp4.md,Chapter_8_Part_3_Stat_2103.mp4.md
634,3.mp4.md,Chapter_8_Part_3_Stat_2103.mp4.md
635,3.mp4.md,Chapter_9_Part_1_Stat_2103.mp4.md
636,3.mp4.md,Chapter_9_Part_1_Stat_2103.mp4.md
637,3.mp4.md,Chapter_9_Part_2_Stat_2103.mp4.md
638,3.mp4.md,Chapter_9_Part_2_Stat_2103.mp4.md
639,3.mp4.md,Chapter_9_Part_3_Stat_2103.mp4.md
640,3.mp4.md,Chapter_9_Part_3_Stat_2103.mp4.md
641,3.mp4.md,10_Statistical_Properties_of_Words_-_Part_03.mp4.md
642,3.mp4.md,10_Statistical_Properties_of_Words_-_Part_03.mp4.md
643,1.mp4.md,68_IBM_Model_1.mp4.md
644,1.mp4.md,68_IBM_Model_1.mp4.md
645,1.mp4.md,68_IBM_Model_1.mp4.md
646,2.mp4.md,69_IBM_Model_2.mp4.md
647,2.mp4.md,69_IBM_Model_2.mp4.md
648,2.mp4.md,69_IBM_Model_2.mp4.md
649,1.mp4.md,8_Statistical_Properties_of_Words_-_Part_01.mp4.md
650,1.mp4.md,8_Statistical_Properties_of_Words_-_Part_01.mp4.md
651,1.mp4.md,8_Statistical_Properties_of_Words_-_Part_01.mp4.md
652,2.mp4.md,9_Statistical_Properties_of_Words_-_Part_02.mp4.md
653,2.mp4.md,9_Statistical_Properties_of_Words_-_Part_02.mp4.md
654,2.mp4.md,9_Statistical_Properties_of_Words_-_Part_02.mp4.md
655,7_Solution_-_Intro_to_Machine_Learning.mp4.md,160_Information_Gain_Part_7_Solution_-_Intro_to_Machine_Learning.mp4.md
656,2.mp4.md,283_K-Means_Clustering_Visualization_2.mp4.md
657,2.mp4.md,283_K-Means_Clustering_Visualization_2.mp4.md
658,2.mp4.md,283_K-Means_Clustering_Visualization_2.mp4.md
659,3.mp4.md,284_K-Means_Clustering_Visualization_3.mp4.md
660,3.mp4.md,284_K-Means_Clustering_Visualization_3.mp4.md
661,6_Quiz_-_Intro_to_Machine_Learning.mp4.md,296_Quiz_-_Intro_to_Machine_Learning.mp4.md
662,7_Solution_-_Intro_to_Machine_Learning.mp4.md,297_Solution_-_Intro_to_Machine_Learning.mp4.md
663,1_Introduction.mp4.md,491_Introduction.mp4.md
664,1_Introduction.mp4.md,491_Introduction.mp4.md
665,1.mp4.md,11.mp4.md
666,1.mp4.md,11.mp4.md
667,1.mp4.md,11.mp4.md
668,2.mp4.md,12.mp4.md
669,2.mp4.md,12.mp4.md
670,2.mp4.md,12.mp4.md
671,3.mp4.md,13.mp4.md
672,3.mp4.md,13.mp4.md
673,4.mp4.md,14.mp4.md
674,4.mp4.md,14.mp4.md
675,5.mp4.md,15.mp4.md
676,5.mp4.md,15.mp4.md
677,6.mp4.md,16.mp4.md
678,6.mp4.md,16.mp4.md
679,7.mp4.md,17.mp4.md
680,7.mp4.md,17.mp4.md
681,8.mp4.md,18.mp4.md
682,8.mp4.md,18.mp4.md
683,9.mp4.md,19.mp4.md
684,9.mp4.md,19.mp4.md
685,1.mp4.md,21.mp4.md
686,1.mp4.md,21.mp4.md
687,1.mp4.md,21.mp4.md
688,2.mp4.md,22.mp4.md
689,2.mp4.md,22.mp4.md
690,2.mp4.md,22.mp4.md
691,3.mp4.md,23.mp4.md
692,3.mp4.md,23.mp4.md
693,4.mp4.md,24.mp4.md
694,4.mp4.md,24.mp4.md
695,5.mp4.md,25.mp4.md
696,5.mp4.md,25.mp4.md
697,6.mp4.md,26.mp4.md
698,6.mp4.md,26.mp4.md
699,7.mp4.md,27.mp4.md
700,7.mp4.md,27.mp4.md
701,8.mp4.md,28.mp4.md
702,8.mp4.md,28.mp4.md
703,9.mp4.md,29.mp4.md
704,9.mp4.md,29.mp4.md
705,1.mp4.md,31.mp4.md
706,1.mp4.md,31.mp4.md
707,1.mp4.md,31.mp4.md
708,2.mp4.md,32.mp4.md
709,2.mp4.md,32.mp4.md
710,2.mp4.md,32.mp4.md
711,3.mp4.md,33.mp4.md
712,3.mp4.md,33.mp4.md
713,4.mp4.md,34.mp4.md
714,4.mp4.md,34.mp4.md
715,5.mp4.md,35.mp4.md
716,5.mp4.md,35.mp4.md
717,6.mp4.md,36.mp4.md
718,6.mp4.md,36.mp4.md
719,7.mp4.md,37.mp4.md
720,7.mp4.md,37.mp4.md
721,8.mp4.md,38.mp4.md
722,8.mp4.md,38.mp4.md
723,9.mp4.md,39.mp4.md
724,9.mp4.md,39.mp4.md
725,1.mp4.md,41.mp4.md
726,1.mp4.md,41.mp4.md
727,1.mp4.md,41.mp4.md
728,2.mp4.md,42.mp4.md
729,2.mp4.md,42.mp4.md
730,2.mp4.md,42.mp4.md
731,1.mp4.md,11.mp4.md
732,1.mp4.md,11.mp4.md
733,1.mp4.md,11.mp4.md
734,2.mp4.md,12.mp4.md
735,2.mp4.md,12.mp4.md
736,2.mp4.md,12.mp4.md
737,3.mp4.md,13.mp4.md
738,3.mp4.md,13.mp4.md
739,4.mp4.md,14.mp4.md
740,4.mp4.md,14.mp4.md
741,5.mp4.md,15.mp4.md
742,5.mp4.md,15.mp4.md
743,6.mp4.md,16.mp4.md
744,6.mp4.md,16.mp4.md
745,7.mp4.md,17.mp4.md
746,7.mp4.md,17.mp4.md
747,8.mp4.md,18.mp4.md
748,8.mp4.md,18.mp4.md
749,9.mp4.md,19.mp4.md
750,9.mp4.md,19.mp4.md
751,1.mp4.md,21.mp4.md
752,1.mp4.md,21.mp4.md
753,1.mp4.md,21.mp4.md
754,2.mp4.md,22.mp4.md
755,2.mp4.md,22.mp4.md
756,2.mp4.md,22.mp4.md
757,3.mp4.md,23.mp4.md
758,3.mp4.md,23.mp4.md
759,4.mp4.md,24.mp4.md
760,4.mp4.md,24.mp4.md
761,5.mp4.md,25.mp4.md
762,5.mp4.md,25.mp4.md
763,6.mp4.md,26.mp4.md
764,6.mp4.md,26.mp4.md
765,7.mp4.md,27.mp4.md
766,7.mp4.md,27.mp4.md
767,8.mp4.md,28.mp4.md
768,8.mp4.md,28.mp4.md
769,9.mp4.md,29.mp4.md
770,9.mp4.md,29.mp4.md
771,1.mp4.md,31.mp4.md
772,1.mp4.md,31.mp4.md
773,1.mp4.md,31.mp4.md
774,2.mp4.md,32.mp4.md
775,2.mp4.md,32.mp4.md
776,2.mp4.md,32.mp4.md
777,3.mp4.md,33.mp4.md
778,3.mp4.md,33.mp4.md
779,4.mp4.md,34.mp4.md
780,4.mp4.md,34.mp4.md
781,5.mp4.md,35.mp4.md
782,5.mp4.md,35.mp4.md
783,6.mp4.md,36.mp4.md
784,6.mp4.md,36.mp4.md
785,7.mp4.md,37.mp4.md
786,7.mp4.md,37.mp4.md
787,8.mp4.md,38.mp4.md
788,8.mp4.md,38.mp4.md
789,9.mp4.md,39.mp4.md
790,9.mp4.md,39.mp4.md
791,1.mp4.md,41.mp4.md
792,1.mp4.md,41.mp4.md
793,1.mp4.md,41.mp4.md
794,2.mp4.md,42.mp4.md
795,2.mp4.md,42.mp4.md
796,2.mp4.md,42.mp4.md
797,1.mp4.md,28_[Live_Machine_Learning_Research]_Plain_Self-Ensembles_(I_actually_DISCOVER_SOMETHING)_-_Part_1.mp4.md
798,1.mp4.md,28_[Live_Machine_Learning_Research]_Plain_Self-Ensembles_(I_actually_DISCOVER_SOMETHING)_-_Part_1.mp4.md
799,1.mp4.md,28_[Live_Machine_Learning_Research]_Plain_Self-Ensembles_(I_actually_DISCOVER_SOMETHING)_-_Part_1.mp4.md
